Prey Birth , Prey Death , Predator Birth , Predator Death , Pesticide Increase , Pesticide Decrease , Average Prey Population , Average Predator Population , Average Pesticide Population
0 , 0 , 0 , 0 , 0 , 0 , 10.051903116310843 , 70.74266166856854 , 0.5007698792687598
0 , 0 , 0 , 0 , 0 , 1 , 8.258368710946007 , 78.20391582493932 , 0.40997821248822197
0 , 0 , 0 , 0 , 1 , 0 , 12.247058020731632 , 63.99111518991344 , 0.6116425403083184
0 , 0 , 0 , 0 , 1 , 1 , 10.051903235428675 , 70.74612150722699 , 0.5007699213647234
0 , 0 , 0 , 1 , 0 , 0 , 12.272098477024938 , 70.7351860182063 , 0.5005470214424911
0 , 0 , 0 , 1 , 0 , 1 , 10.076037039074002 , 78.19808428964672 , 0.40979590517648007
0 , 0 , 0 , 1 , 1 , 0 , 14.958809079724348 , 63.98305746636781 , 0.6113701298669588
0 , 0 , 0 , 1 , 1 , 1 , 12.272098506753762 , 70.73741336520379 , 0.5005470484273759
0 , 0 , 1 , 0 , 0 , 0 , 8.22793258982569 , 70.74880760119217 , 0.5009927180248267
0 , 0 , 1 , 0 , 0 , 1 , 6.759832093021526 , 78.2114610103702 , 0.4101605330337542
0 , 0 , 1 , 0 , 1 , 0 , 10.024779201864254 , 63.99622307126473 , 0.6119148996774119
0 , 0 , 1 , 0 , 1 , 1 , 8.227932733128656 , 70.75366499060547 , 0.5009927768521397
0 , 0 , 1 , 1 , 0 , 0 , 10.045267063317269 , 70.74446607038114 , 0.5007699038046519
0 , 0 , 1 , 1 , 0 , 1 , 8.247678775855222 , 78.20861811996936 , 0.4099782584688122
0 , 0 , 1 , 1 , 1 , 0 , 12.244475874905007 , 63.99137517957901 , 0.6116425470353047
0 , 0 , 1 , 1 , 1 , 1 , 10.045267102433696 , 70.74767043210856 , 0.5007699422815461
0 , 1 , 0 , 0 , 0 , 0 , 8.214108772029151 , 64.00252000782609 , 0.4099951300833647
0 , 1 , 0 , 0 , 0 , 1 , 6.749504875110974 , 70.7577148901172 , 0.3356500191027696
0 , 1 , 0 , 0 , 1 , 0 , 10.007309093997875 , 57.888280483512 , 0.5007700015738729
0 , 1 , 0 , 0 , 1 , 1 , 8.213774908120275 , 64.00489270425679 , 0.40997844645437836
0 , 1 , 0 , 1 , 0 , 0 , 10.03185118738121 , 63.994755035881184 , 0.40981278012247074
0 , 1 , 0 , 1 , 0 , 1 , 8.237635663964602 , 70.75101076803868 , 0.33550084395804153
0 , 1 , 0 , 1 , 1 , 0 , 12.227504483900407 , 57.880789116967144 , 0.5005471193152602
0 , 1 , 0 , 1 , 1 , 1 , 10.031443086991068 , 63.9965407468427 , 0.40979609022927915
0 , 1 , 1 , 0 , 0 , 0 , 6.723619079809249 , 64.00770640774088 , 0.4101774466673635
0 , 1 , 1 , 0 , 0 , 1 , 5.5247642061554325 , 70.76348036112688 , 0.33579918167673906
